Burger Name,Burger Description,Restaurant, Price ,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Sweet,Vegetarian,Venison,Not Your Usual,Finalist,Winner
The Hellenic Mile Burger,"Slow-roasted Wairarapa lamb braised in Mojo coffee with honey roasted beets, pickled cucumber, and Zany Zeus garlic Greek yoghurt in a black olive bap (NF, DF option, GF option).",Pōneke by Mojo, $ 18.00 ,2017,,,,Yes,,,,,,,,
Trump Tower,"1/2 pound beef patty with pulled pork in bourbon sauce, cheddar, pickles, iceberg, tomato and Queen Lizzy's burger sauce in housemade milk bun (GF, NF)",Queen of Jackson, $ 19.00 ,2017,Yes,,,,,,,,,,,
The Double Lamby,"Lamb patties with lamb bacon, pickled fennel, cos, mint marinated labneh and smoked Zany Zeus yoghurt in an Arobake brioche bun, with kūmara chips (NF)",Rata Café, $ 19.50 ,2017,,,,Yes,,,,,,,,
Chairman Bao,"Handmade bao with double-braised pork belly, housemade hoisin sauce and salad, with crispy pork skin fries or potato fries (DF).",Red Mount, $ 18.00 ,2017,,,,,Yes,,,,,,,
Rockin' Burger,"Barbecued laqué pork with mozzarella-stuffed prawn patty, Vietnamese slaw and roasted sesame dressing in a homemade sesame bun",Rock Yard Restaurant, $ 18.50 ,2017,,,,,Yes,Yes,,,,,,
Silence of the Lambs,"Grilled pressed lamb shoulder crusted in dukkah with cucumber pickle and iceberg in a housemade yoghurt sesame bun, with garlic sumac fries (DF option).",Salty Pidgin, $ 20.00 ,2017,,,,Yes,,,,,,,,
Spaghetti & Meatball,"Pork and herb meatballs braised in tomato with a pickle and provolone cheese in an Arobake milk bun, with tomato salt 'spaghetti fries' (NF).",Scopa, $ 19.00 ,2017,,,,,Yes,,,,,,,
Vegan Fried Egg Burger,"Housemade vegan fried egg, vegan cheese, sauerkraut (GF, DF, V, VV, Pesc)",Seize, $ 19.00 ,2017,,,,,,,,Yes,,Yes,,
The Kiwi Burger,"Double beef patty, streaky bacon, Kāpiti cheddar, beetroot and free range fried egg in Zaida's milk bun with handcut fries.",Siglo, $ 20.00 ,2017,Yes,,,,,,,,,,,
Mutton Dressed As Lamb,"Spiced patty of NZ's first great export with mint labne, beetroot relish and garlic mayonnaise in a housemade sesame bun, with fries.",Slim Davey's Friendly Neighbourhood Saloon, $ 19.50 ,2017,,,,,,,,,,Yes,,
CCC Mexi Tower,"Tortilla-crumbed chilli con carne patty with lettuce, tomato, guacamole, hard goat's cheese and sour cream in a mole burger bun, with kūmara chips and chipotle mayonnaise (NF).",Sojourn Café & Bar, $ 20.00 ,2017,,,,,,,,,,Yes,,
Kāpiti Fried Cauli (K.F.C),"Original recipe fried cauliflower with homemade vegan 'jack cheese', mayonnaise and lettuce in a Pandoro Kaiser bun with slaw, mash and Parkvale Mushroom gravy (DF, NF, Pesc, V, VV).",Southern Cross Garden Bar Restaurant, $ 22.00 ,2017,,,,,,,,Yes,,,,
A South Coast Southerly,"Brisket patty with bourbon and bacon jam, Zany Zeus jalapeño popper and bread and butter pickles in an Arobake cornbread-style bun, with fries and chilli aioli (NF)",Spruce Goose, $ 20.00 ,2017,,,,,,,,,,,,
Final Kraut Down,"Beef patty, house pastrami, mustard, cheese, pickles and sauerkraut slaw in a Zaida's rye bun (V option, NF option).",St Johns Bar And Restaurant, $ 18.00 ,2017,Yes,,,,,,,,,,,
Picanha Beef and Beer,"Sirloin cap beef patty with bourbon battered onion rings, chimichurri mayonnaise, lettuce and tomato in a Brezelmania brioche bun, with fries (NF, DF option).",Station Gardens, $ 18.00 ,2017,Yes,,,,,,,,,,,
New Kid on the Block,"Goat patty, Drunken Nanny goat's cheese, rocket, mushroom ketchup and pickled Parkvale Mushrooms in an Arobake milk bun, with triple cooked agrias (NF)",Sterling Woodfire Eatery & Bar, $ 23.00 ,2017,,,,,,,,,,Yes,,
Shorty Will You Marrow Me?,"Slow-braised beef short rib, beetroot chutney, smoked bone marrow butter and Monterey Jack cheddar in a Zaida’s kawakawa milk bun, with shoestring fries and bone marrow mayonnaise (NF).",The Arborist Rooftop Bar & Eatery, $ 25.00 ,2017,Yes,,,,,,,,,,,
Bill's Sheared Sheep,"Braised pulled Wairarapa lamb with pea, mint and coriander dollop in a Pandoro beer and barley bun, with handcut skin-on chips (DF, NF, GF option)",The Backbencher Gastro Pub, $ 25.00 ,2017,,,,Yes,,,,,,,,
The Double Down Donald,"Two prime beef patties with lettuce, tomato, pickles andmustard mayonnaise between two grilled cheese sandwiches with Zaida's bread",The Bangalore Polo Club, $ 18.00 ,2017,Yes,,,,,,,,,,,
The Borough Garage Burger,"Pork and beef patty with fried Zany Zeus halloumi, Garage Project La Calavera Catrina hot sauce, beetroot relish and onion in a Nada Bakery brioche bun, with malt vinegar chips (NF).",The Borough, $ 21.00 ,2017,Yes,,,,,,,,,,,
Sooty and Sweet,"Smoked kūmara, quinoa and ricotta patty, red wine beetroot and onion chutney and Prana Greens in a Zaida's bun, with parsnip crisps and smoked paprika aioli (V, NF)",The Botanist, $ 20.00 ,2017,,,,,,,,Yes,,,,
Cheeseburger Deluxe,"Beef patty with smoked cheese, American cheese, griddled onions, snap bacon, bread and butter pickles and secret sauce in a housebaked milk bun with fries (NF).",The Bresolin, $ 26.00 ,2017,Yes,,,,,,,,,,,
Full English Megaburger,"Pork and beef burger with doublesmoked bacon, fried egg, hash, black pudding and baked beans in a Pandoro brioche bun, with Parmentier potatoes.",The Butcher and Brewer, $ 24.00 ,2017,Yes,,,,,,,,,,,
Wham Bam Thank You Lamb!,Eketahuna Country Meats lamb patty with Parkvale Mushroom stuffed with Kingsmeade Castlepoint feta and beetroot relish in a Clareville Bakery honey oat bun.,The Clareville Bakery, $ 22.00 ,2017,,,,Yes,,,,,,,,
Lamb Orgini,Housesmoked pulled Wairarapa lamb shoulder with minted savoy cabbage slaw and smoked Zany Zeus yoghurt in an Arobake brioche bun with fermented fries,The Featherston City Tavern, $ 19.50 ,2017,,,,Yes,,,,,,,,
The Dubliner,"Stout and cider-braised smoked lamb shoulder with shamrock salad, Irish boxty and kūmara aioli in a Brezelmania bun, with fries.",The Green Man Pub, $ 24.00 ,2017,,,,Yes,,,,,,,,
Flying Bambi,"Flight coffee -infused venison patty with wild mushrooms, pumpkin relish and Kāpiti Aorangi brie in a Clareville Bakery honey wheat bun (DF option, GF option, NF option)",The Hangar, $ 19.50 ,2017,,,,,,,,,Yes,,,
Poaka Poi E,"Confit pork belly patty with fennel slaw, kiwifruit jam, pickled kūmara and rocket in a Brezelmania bun (NF)",The Hop Garden, $ 22.00 ,2017,,,,,Yes,,,,,,,
Umamisofato – Katsu Burger,"Pork belly tonkatsu, pork apple curry, cabbage, pickled daikon, spring onion and miso mayonnaise between a Pandoro bun with fries topped with tonkatsu sauce, kewpie mayonnaise and bonito flakes",The Hotel Bristol, $ 18.50 ,2017,,,,,Yes,,,,,,,
Buffalo Burger,"Grilled buffalo patty with caramelised onions, pickles, Monterey Jack cheese, iceberg and Larder BBQ sauce and fries (DF option, GF option, NF option, VV option).",The Larder, $ 22.00 ,2017,,,,,,,,,,Yes,,
Willy Wonka Choc Burger,"Whittaker's chocolate custard, chocolate chips, chocolate mousse, cookie, Kaffee Eis chocolate ice cream, brownie and chocolate sauce in chocolate brioche (V, Pesc).",The Library, $ 19.00 ,2017,,,,,,,Yes,Yes,,,,
Gobble & Gossip,"Turkey and fennel patty seared in duck fat served in a Zaida's egg bun with rocket, cranberry chilli jam and crispy bacon, with beer battered fries (DF option, GF option, NF option)",The Old Bailey, $ 21.00 ,2017,,,,,,,,,,Yes,,
Haiku Burger,Longbush free range pork | A mixture of our preserves | Soft steamed white bread roll (NF).,The Ramen Shop, $ 14.00 ,2017,,,,,Yes,,,,,,,
Chook's Gone Wild,"Chargrilled spice-rubbed chicken thigh with aioli, streaky bacon and gherkins in a Zaida's milk bun, with shoestring fries",The Realm Bar and Bistro, $ 18.00 ,2017,,Yes,,,,,,,,,,
Cheeky Bacon Cheeseburger,"Beer-braised beef cheek with horseradish and mustard mayonnaise, bacon, brie and mushrooms in a beer buttered brioche bun with handcut fries (NF)",The Still Room - Bar + Kitchen, $ 25.00 ,2017,Yes,,,,,,,,,,,
Burger Got Seoul,"Sirloin patty with housemade kimchi, pickled cucumber and Kingsmeade Opaki Manchego in a Zaida's rye bun, with beef fat fries.",The Tasting Room, $ 21.00 ,2017,Yes,,,,,,,,,,,
Jordy's Rib,"Beef short rib burger with maple bacon, Garage Project Beer-battered onion and Prana Greens micro mustard in L'Amour En Cage brioche bun, with chips",The Waterfront, $ 23.00 ,2017,Yes,,,,,,,,,,,
Mansfield's Saucy Story Pt 2,"Venison patty with red cabbage and bacon kimchi and Zany Zeus yoghurt in an Old Bakehouse bun (GF option, NF option).",Thistle Inn, $ 22.00 ,2017,,,,,Yes,,,,Yes,,,
Almighty Thundershizzle,Lamb and chorizo patty with chilli con queso and Anaheim chilli red pepper chow chow in a Pandoro chilli corn bun.,Thunderbird Café, $ 20.00 ,2017,,,,Yes,,,,,,,,
A Cheesy Spicy Cow Pig,"Beef patty with honey-cured Longbush bacon, horopito, Zany Zeus Southland cheese spread, smoked beetroot and pūhā in a Leeds St Bakery cheese bun (DF option, NF option).",Ti Kouka Café, $ 23.00 ,2017,Yes,,,,Yes,,,,,,,
Taisa Karaage,"Chicken with tempura prawn, Kāpiti cheddar sauce, spring onion and cucumber pickle in a Brezelmania brioche bun, with sweet potato chips.",Tokeyo, $ 22.00 ,2017,,Yes,,,,Yes,,,,,,
The Salvador Deli Burger C,"Chorizo with jamon, beef, romesco and Kingsmeade Opaki Manchego in housemade almond brioche bun, with polenta chips (DF option, GF option, NF option, V option).",Trade Kitchen, $ 20.00 ,2017,Yes,,,,Yes,,,,,,,
The Hangry Angus,"Angus beef patty filled with Kāpiti port wine cheddar with bacon relish, onion strings, smoked maple aioli and honey bourbon Sriracha BBQ sauce in a bagel (GF option).",Trentham Mess Hall, $ 22.00 ,2017,Yes,,,,,,,,,,,
Meat 'n' Beet,"Slow-cooked beef brisket with pickled courgette, caramelised onion, edam, cos and chipotle mayonnaise in a Zaida's beetroot milk bun, with polenta chips (NF, V option).",Vivant! Restaurant & Bar, $ 22.00 ,2017,Yes,,,,,,,,,,,
The Wai Kai Burger,"Wild vension burger with streaky bacon, housesmoked tasty cheese, BBQ onions, cos lettuce and beetroot aioli in a rewēna bun with kūmara chips (DF, NF).",Waimea Restaurant, $ 25.00 ,2017,,,,,,,,,Yes,,,
Crispy Sichuan Pork Burger,"Crispy pork, strange-flavour sauce, quick pickles, steamed bun and lazi fries.",Wholesale Boot Company, $ 26.00 ,2017,,,,,Yes,,,,,,,
Rossini Burger,"Black Angus beef burger with duck liver parfait and Madeira shallot aioli in a brioche truffle bun, with triple-cooked chips (NF). Add fresh shaved truffle for $10",Zibibbo, $ 24.50 ,2017,Yes,,,,,,,,,,,
Sweet Cheeks,"Meat Direct braised venison cheeks with breaded sweetbread, confit red onion, Kingsmeade Tinui Blue cheese in Clareville Bakery sourdough and ale burger bun",[PUBLIC.] Bar & Eatery,$18.00,2015,,,,,,,,,Yes,,,
Smoky Texan Burger,"Smoked beef patty with sliced cheddar, Waikanae Butchery bacon, crumbed onion rings and smoky BBQ sauce and battered pickle, with French fries",Absolute Steak,$16.50,2015,Yes,,,,,,,,,,,
Smoked Black Jack Cheddar Brisket,"Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze Meat Direct smoked beef brisket with Black Jack cheddar, battered onion rings, crumbed jalapeños, pickled onion relish, cream cheese in a horseradish-infused bun. Matched w Garage Project Hāpi Daze",Arizona,$24.00,2015,Yes,,,,,,,,,,,
Goodbye Lenin,"Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’ Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’ Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’ Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’ Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’ Randwick Meats pork schnitzel with red cabbage slaw, Zany Zeus quark and pickled red onions in an Astoria bun, with fries and curry sauce. Matched w Garage Project ‘Beer’",Astoria,$21.00,2015,,,,,Yes,,,,,,,
Chuck the Conquistador,"Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze Preston's beef with housemade white wine cheese, burnt onion sour cream and semi-dried tomatoes in a Clareville Bakery bun, with baked potato and remoulade. Matched w Garage Project Hāpi Daze",Basque,$22.00,2015,Yes,,,,,,,,,,,
Wellywood vs Bollywood,"Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze Indian Spiced chicken, Elysian yoghurt, cos lettuce, mango chutney on a Chaffers Artisan brioche bun with hand-cut fries. Matched w Garage Project Hāpi Daze",Bay Plaza Hotel,$25.00,2015,,Yes,,,,,,,,,,
Oriental Bao Burger,"Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin Year of the Pig and Duck: Braised Longbush Pork belly with BBQ duck, Asian slaw, plum and hoisin sauce in a steamed bun, with sesame-salted Asian street fries and sriracha mayonnaise. Matched w Garage Project Red Zeppelin",Beach Babylon,$23.00,2015,,,,,Yes,,,,,Yes,,
The Peruvian Pig,"Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin Peruvian style Preston's pork with bacon, chicharrón, fried jalapeños, Zany Zeus yoghurt and pineapple salsa in an Arobake bun, with fries. Matched w Garage Project Red Zeppelin",Bebemos,$22.00,2015,,,,,Yes,,,,,,,
Restaurant + Bar Supercharger Burger,"Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin Beef Patty with Panhead Supercharger aromatic hopped relish, Kāpiti cheddar cheese and Waikanae Butchery streaky bacon in a brioche bun, with roasted garlic and herb fries. Matched w Garage Project Red Zeppelin",Bin 44,$20.00,2015,Yes,,,,,,,,,,,
The Muss,"Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe Smoked Moana Pacific green lip mussel patty with rocket lettuce, pickled cucumber, crumbed onion rings, lime and wasabi mayonnaise in Arobake honey ciabatta bun, with Garage Project beer-battered kumara handcuts chips. Matched w Garage Project Hops On Pointe",Boat Café,$24.50,2015,,,,,,Yes,,,,,,
Black and Gold,"Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin Pāuā patty with cucumber, baby cos and lemon mayonnaise in a karengo seasoned bun, with handmade crisps. Matched w Garage Project Red Zeppelin",Boulcott Street Bistro,$29.00,2015,,,,,,Yes,,,,,,
Tipsy Lamb,"Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches Pirinoa Station backstrap, Garage Project Angry Peaches molasses, hot n' cold yoghurt, carrot and lettuce. Matched w Garage Project Angry Peaches",Burger Liquor,$14.00,2015,,,,Yes,,,,,,,,
Smokey and the Lambit,"Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze Lightly smoked Pirinoa Station lamb patty with whipped Kingsmeade goat's cheese and Croft Estate Pinot Noir jelly in a Clareville Bakery pretzel bun, with polenta chips. Matched w Garage Project Hāpi Daze",Café Medici,$20.00,2015,,,,Yes,,,,,,,Yes,
Crumbgetacluckinhotchikin,"Crispy crumbed chipotle chicken breast with Mexican slaw and smoked cheese in a homemade milk bun, with housemade tortilla chips",Café Polo,$21.50,2015,,Yes,,,,,,,,,,
Here Piggy Piggy Cow,"Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’ Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’ Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’ Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’ Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’ Aged Wairarapa beef and pork patty, coffee caramelised onions, crisp streaky bacon, gouda, coffee BBQ glaze on an Arobake bun with shoestring fries. Matched w Garage Project ‘Beer’",Caffe L'affare,$21.50,2015,,,,,Yes,,,,,,,
The Brain Burger,"Lightly crumbed lamb brains, celeriac and caper remoulade and crispy sage in a Pandoro brioche bun. Matched w Garage Project Red Zeppelin Lightly crumbed lamb brains, celeriac and caper remoulade and crispy sage in a Pandoro brioche bun. Matched w Garage Project Red Zeppelin Lightly crumbed lamb brains, celeriac and caper remoulade and crispy sage in a Pandoro brioche bun. Matched w Garage Project Red Zeppelin Lightly crumbed lamb brains, celeriac and caper remoulade and crispy sage in a Pandoro brioche bun. Matched w Garage Project Red Zeppelin Lightly crumbed lamb brains, celeriac and caper remoulade and crispy sage in a Pandoro brioche bun. Matched w Garage Project Red Zeppelin",Capitol,$26.50,2015,,,,,,,,,,Yes,,
Ebisu Burger,"Moana Pacific fish burger with house chutney and Japanese mayonnaise in a Brezelmania squid ink bun, with shoestring fries. Eisbu is the Japanese god of fishermen and luck",Charley Noble,$26.00,2015,,,,,,Yes,,,,,Yes,
Mazzerati,"Corn fritter, fried Zany Zeus halloumi and avocado salsa on a Pandoro brioche bun with rosemary fries and saffron aioli. Add a thickshake for $5",City Dining & Bar,$20.00,2015,,,,,,,,Yes,,,,
Sleep with the Fishes,"Fritters of clams, smoked Yellow Brick Road snapper wing and pāuā with aubergine relish, octopus tentacle and preserved lemon aioli in a za’atar spiced roll",CoCo at The Roxy,$20.00,2015,,,,,,Yes,,,,,,
The Filthy Swine,"Island Bay pork sausage patty, Waikanae pork coppa, bacon, black pudding, wild pork salami, Bethel Woods pulled pork, Agria potato game chips , Brezelmania brioche bun, Huffman's hot sauce & pickles. Matched w Garage Project Death From Above Island Bay pork sausage patty, Waikanae pork coppa, bacon, black pudding, wild pork salami, Bethel Woods pulled pork, Agria potato game chips , Brezelmania brioche bun, Huffman's hot sauce & pickles. Matched w Garage Project Death From Above Island Bay pork sausage patty, Waikanae pork coppa, bacon, black pudding, wild pork salami, Bethel Woods pulled pork, Agria potato game chips , Brezelmania brioche bun, Huffman's hot sauce & pickles. Matched w Garage Project Death From Above Island Bay pork sausage patty, Waikanae pork coppa, bacon, black pudding, wild pork salami, Bethel Woods pulled pork, Agria potato game chips , Brezelmania brioche bun, Huffman's hot sauce & pickles. Matched w Garage Project Death From Above Island Bay pork sausage patty, Waikanae pork coppa, bacon, black pudding, wild pork salami, Bethel Woods pulled pork, Agria potato game chips , Brezelmania brioche bun, Huffman's hot sauce & pickles. Matched w Garage Project Death From Above",Coene's Provisions,$24.00,2015,,,,,Yes,,,,,,,
Swine Lord of Levin,"Pork sirloin with apple fritter, kiwifruit and chilli chutney in a Pandoro bun, funky fries with pale ale vinegar",Concrete Bar,$20.00,2015,,,,,Yes,,,,,,,
Cu-Baa Quarter Burger,"Wairarapa pulled lamb burger with lettuce, tomato, red onion and hummus in a toasted Zaida’s Turkish bap, with housemade agria potato fries","CQ Restaurant, Bar & Café",$18.00,2015,,,,Yes,,,,,,,,
